word,count
plans,146808
prepare,146807
saved,146797
gold,146625
avec,146621
dr,146612
loss,146382
directly,146300
prison,146268
lived,146254
“but,146230
dance,146114
drove,146062
thousands,146048
hell,145636
approached,145525
wrist,145229
healthy,144934
ser,144870
risk,144798
sick,144783
normal,144772
popular,144628
moving,144610
speed,144434
solution,144282
decision,144256
⚡,143897
tools,143685
painting,143588
burst,143459
sneered,143345
reality,143247
lay,143225
laughter,143144
heels,143042
lucky,142937
skirt,142875
glasses,142779
focus,142726
purchase,142724
dreams,142555
faces,142545
smirked,142261
refused,141980
wore,141924
revealed,141827
80,141780
proud,141778
sell,141760
keeping,141743
younger,141344
ver,141322
maya,141304
eighteen,141207
pure,141133
difficult,141017
lifted,140906
practice,140738
ordered,140712
stayed,140690
leading,140635
cars,140623
contract,140605
respect,140486
understood,140447
mike,140435
beyond,140283
male,140269
express,140117
rang,140036
fitness,139868
engagement,139836
kate,139759
driving,139718
headed,139698
greeted,139306
discounts,139293
turns,139194
froze,138990
poor,138959
main,138865
rain,138864
videos,138636
jaw,138267
unleash,138243
sitewide,138146
sie,138136
achieve,137764
ceremony,137740
explained,137716
suitable,137705
war,137589
pov,137449
tight,137356
antes,137307
pink,137247
jake,137232
hoping,137198
alaric,137098
airport,137049
easier,136986
kit,136883
struggling,136616
boost,136524
touched,136376
usual,136302
works,136196
third,136105
tidak,136063
lower,135944
besides,135880
nine,135878
sports,135732
mess,135685
hug,135660
chin,135637
hung,135410
lowered,135307
families,134828
missed,134750
modern,134711
bella,134634
todos,134574
claim,134416
warmth,134401
midnight,134390
goes,134363
train,134283
clic,134153
joanna,133941
не,133404
cost,133388
assistant,133330
freedom,133327
lovers,133114
ship,133106
yoga,133025
showing,132937
killed,132870
electric,132646
mistake,132624
tap,132615
stronger,132558
jessica,132471
timeless,132415
hey,132400
ignored,132194
…,132127
blonde,132105
guests,132023
“are,131834
anastasia,131822
title,131785
scene,131742
highquality,131700
finger,131548
believed,131403
cat,131310
guard,131305
confusion,131298
muscle,131259
nearly,131151
performance,131132
james,130995
wake,130952
extremely,130889
forehead,130839
havent,130751
fabric,130702
roxy,130567
growing,130511
rooms,130506
gasped,130361
lie,130264
sometimes,130163
council,130054
tus,130013
perfectly,129992
sun,129799
willing,129733
🛒,129561
push,129548
starts,129501
naturally,129227
⭐,129217
attack,129210
he’d,129150
grip,129018
meal,128857
deeply,128722
reaction,128549
mas,128418
games,128336
natalie,128181
princess,128129
jeans,128107
paused,128069
stars,128024
falling,127999
cruel,127938
warriors,127927
confident,127900
what’s,127824
excitement,127773
faster,127765
eventually,127746
fully,127690
tan,127665
created,127647
años,127627
logan,127624
whenever,127539
enter,127515
johnson,127324
planning,127316
dengan,127313
rogue,127274
type,127186
breathing,127096
accessories,127066
dry,126970
ensure,126876
aside,126858
stare,126756
stress,126689
gray,126657
seven,126647
considered,126526
caused,126498
staying,126483
text,126373
nervous,126368
indeed,126122
caroline,126073
“if,125993
success,125989
bundle,125921
sobre,125908
shirts,125753
print,125702
dining,125690
était,125365
rogues,125356
liked,125282
released,125254
paper,125252
dragged,125221
learned,125170
career,125153
widened,125011
briana,124870
stuff,124804
heat,124780
potential,124672
upset,124409
tree,124363
slept,124189
sky,124119
vez,124093
history,123949
yelled,123902
18,123779
range,123751
hugged,123655
nature,123552
spotify,123445
mix,123429
allow,123337
variety,123323
qui,123176
sleeve,123114
media,123031
“you’re,123007
mega,122935
absolutely,122878
material,122818
jump,122624
crossed,122618
shrugged,122597
luxurious,122594
books,122568
“do,122560
apart,122506
portable,122435
después,122396
events,122161
australia,122124
shared,122070
students,121837
rid,121680
tv,121650
discovered,121623
safety,121598
casa,121322
apple,121297
arent,121263
vous,121157
track,121036
movement,121031
industry,121010
we’ll,120982
stupid,120971
downstairs,120960
growl,120834
ease,120800
avoid,120775
install,120657
website,120537
rejection,120266
alright,120129
fbcom,120082
picture,119999
sleeping,119940
robert,119884
offered,119781
stone,119781
marketing,119778
bracelet,119733
unable,119654
blanket,119627
с,119586
trusted,119552
missing,119552
familys,119445
among,119422
teacher,119351
us”,119307
warning,119263
fair,119188
happens,119113
creative,119056
materials,119048
hombre,119019
memory,118989
offering,118969
treatment,118942
thin,118752
x,118736
sons,118720
stuck,118664
gonna,118653
teach,118628
balance,118620
yeah,118524
asks,118473
“thank,118224
dared,118211
pointed,118079
hint,117991
outdoor,117984
difference,117878
lucian,117825
chat,117607
worst,117607
elegant,117549
apartment,117522
throw,117458
​,117457
stage,117342
study,117331
cup,117293
theyre,117211
garden,117190
stella,117085
evening,116898
screamed,116669
funny,116499
tiempo,116346
multiple,116339
concern,116138
“my,116087
furious,116067
selection,116020
begin,116012
healing,115994
official,115855
🌎,115803
cozy,115578
halloween,115556
fate,115472
promised,115455
aware,115394
twins,115393
brain,115236
designer,115226
football,115174
wild,114939
upstairs,114924
sad,114908
experts,114827
losing,114820
wondering,114803
taste,114709
you’ve,114675
flash,114611
wind,114580
levi,114566
anxiety,114559
mobile,114534
path,114438
pass,114412
sur,114374
itu,114371
tshirts,114351
edge,114350
heads,114308
value,114213
statement,114129
shouted,114126
“why,113994
let’s,113983
handmade,113889
becoming,113780
mention,113671
liam,113660
exciting,113525
happiness,113490
cómo,113281
except,113230
expensive,113212
rachel,113138
fault,113124
lily,112993
thick,112968
⏰,112937
chasity”,112763
connection,112684
knowledge,112642
kicked,112537
carried,112519
pushing,112494
peace,112492
fists,112477
government,112474
joke,112449
advantage,112427
perhaps,112269
retro,112268
intense,112238
we’ve,112205
waterproof,112202
original,112180
famous,112180
ticket,112165
queen,112142
jason,112130
⭐️⭐️⭐️⭐️⭐️,112129
somehow,112107
sea,112086
gym,112055
golden,112032
jumped,111945
emma,111901
gorgeous,111795
device,111610
“what’s,111531
excuse,111491
shouldnt,111491
grinned,111354
yesterday,111271
elevator,111171
calmly,111137
interrupted,111065
cannot,111054
innocent,111032
sir,111011
shape,110847
14,110763
breathe,110743
brows,110742
seriously,110732
page,110717
aura,110569
hiding,110567
🤩,110562
theo,110358
afford,110317
bestselling,109945
werent,109831
mientras,109808
incredibly,109795
arrivals,109779
talked,109649
impact,109639
“this,109638
shed,109624
sofa,109473
est,109456
feels,109156
signed,109046
based,108919
cared,108623
transformation,108558
ha,108544
eyebrows,108313
raise,108252
options,108191
simone,107924
drunk,107834
angrily,107688
alice,107627
🖤,107558
jasper,107407
1000,107407
manage,107384
soul,107333
grand,106882
carry,106796
thousand,106759
throughout,106605
model,106548
nobody,106500
warranty,106451
200,106440
rage,106428
waste,106234
“that’s,106159
jeremy,106156
niya,106106
wealth,106057
appearance,106014
sarah,106011
tie,106006
project,105956
release,105897
🛒shop,105849
hadn’t,105840
grown,105831
apply,105816
trip,105767
condition,105509
kid,105457
gives,105415
fbme,105311
worlds,105252
disappeared,105207
eight,105131
occasion,105103
sort,104955
painful,104875
steel,104834
struggled,104804
problems,104802
mansion,104655
accepted,104624
brayden,104600
ceo,104545
previous,104470
maxim,104468
eso,104427
surrounded,104363
sadly,104350
collections,104340
“so,104241
woods,104196
result,104160
this”,104151
grandma,104145
celebrate,104112
agree,104070
mothers,104008
